doc_id,chars,sp_tokens,custom_tokens,delta_sp_minus_custom
10779,496,210,216,-6
10780,2205,945,955,-10
10781,1975,798,835,-37
10782,1398,564,591,-27
10783,2562,1035,1058,-23
10784,442,177,183,-6
10785,531,276,281,-5
10786,635,282,297,-15
10787,663,321,339,-18
10788,15797,6608,6795,-187
10789,1313,558,589,-31
10790,372,165,173,-8
10791,3489,1380,1407,-27
10792,1895,800,817,-17
10793,1934,767,783,-16
10794,2109,835,857,-22
10795,1308,582,607,-25
10796,5369,1961,1991,-30
10797,2573,1019,1062,-43
10798,496,191,193,-2
10799,3014,1344,1364,-20
10800,441,209,220,-11
10801,579,224,230,-6
10802,4985,1993,2055,-62
10803,1827,847,895,-48
10804,3757,1552,1607,-55
10805,1303,540,557,-17
10806,365,151,160,-9
10807,1487,591,620,-29
10808,5762,2536,2600,-64
10809,2541,1166,1176,-10
10810,371,161,162,-1
10811,1102,522,554,-32
10812,4632,2032,2105,-73
10813,2424,997,1025,-28
10814,879,360,374,-14
10815,2209,930,979,-49
10816,4588,1738,1801,-63
10817,625,249,262,-13
10818,12100,4421,4528,-107
10819,3913,1537,1608,-71
10820,8723,3506,3599,-93
10821,3718,1535,1555,-20
10822,902,440,452,-12
10823,1951,829,853,-24
10824,974,406,407,-1
10825,1207,467,496,-29
10826,2831,1107,1134,-27
10827,715,331,332,-1
10828,985,435,448,-13
10829,1039,399,404,-5
10830,531,207,224,-17
10831,6489,2907,2947,-40
10832,462,224,239,-15
10833,748,318,334,-16
10834,2480,1043,1048,-5
10835,3095,1234,1267,-33
10836,2199,934,934,0
10837,4260,1645,1671,-26
10838,6495,2533,2602,-69
10839,2387,1231,1249,-18
10840,580,252,252,0
10841,3156,1187,1216,-29
10842,2554,979,1029,-50
10843,391,160,167,-7
10844,393,162,168,-6
10845,631,328,336,-8
10846,1671,649,665,-16
10847,1499,605,623,-18
10848,5668,2332,2395,-63
10849,761,331,339,-8
10850,3509,1552,1602,-50
10851,1254,496,492,4
10852,619,213,223,-10
10853,2994,1236,1257,-21
10854,2675,1045,1054,-9
10855,4462,1861,1903,-42
10856,410,166,171,-5
10857,2022,841,898,-57
10858,1166,516,524,-8
10859,776,298,306,-8
10860,1145,505,514,-9
10861,945,437,449,-12
10862,5766,2459,2511,-52
10863,2152,763,791,-28
10864,4901,1834,1898,-64
10865,2707,1038,1048,-10
10866,1179,513,523,-10
10867,2239,891,928,-37
10868,311,140,144,-4
10869,13669,5514,5717,-203
10870,3588,1437,1563,-126
10871,1412,616,622,-6
10872,2420,901,934,-33
10873,3162,1159,1177,-18
10874,1566,580,610,-30
10875,1221,544,566,-22
10876,4118,1629,1683,-54
10877,548,267,275,-8
10878,1600,625,645,-20
10879,6348,2668,2730,-62
10880,2491,913,942,-29
10881,2016,871,894,-23
10882,1870,715,702,13
10883,2581,1112,1149,-37
10884,1277,592,615,-23
10885,3514,1192,1248,-56
10886,4741,1839,1911,-72
10887,4591,1733,1779,-46
10888,8239,3268,3365,-97
10889,2124,840,855,-15
10890,312,119,125,-6
10891,2720,940,978,-38
10892,5012,2098,2178,-80
10893,2895,1196,1202,-6
10894,1019,404,418,-14
10895,3249,1516,1546,-30
10896,28717,10300,10536,-236
10897,2694,1337,1364,-27
